id,order_id,kind,status,created_at,amount,currency,gateway,processed_at,payment_method_type
8000001,5000001,sale,success,2026-01-01T04:30:00+00:00,1037.0,USD,shopify_payments,2026-01-01T04:30:00+00:00,credit_card
8000002,5000002,sale,success,2026-01-01T07:22:00+00:00,319.62,USD,paypal,2026-01-01T07:22:00+00:00,paypal
8000003,5000003,sale,success,2026-01-01T09:33:00+00:00,222.49,USD,shopify_payments,2026-01-01T09:33:00+00:00,credit_card
8000004,5000004,sale,success,2026-01-01T08:10:00+00:00,143.03,USD,shopify_payments,2026-01-01T08:10:00+00:00,credit_card
8000005,5000005,sale,success,2026-01-01T17:15:00+00:00,472.7,USD,shopify_payments,2026-01-01T17:15:00+00:00,credit_card
8000006,5000006,sale,success,2026-01-01T21:03:00+00:00,66.13,USD,shopify_payments,2026-01-01T21:03:00+00:00,credit_card
8000007,5000007,sale,success,2026-01-01T10:41:00+00:00,333.71,USD,paypal,2026-01-01T10:41:00+00:00,paypal
8000008,5000008,sale,success,2026-01-01T07:40:00+00:00,210.62,USD,shopify_payments,2026-01-01T07:40:00+00:00,credit_card
8000009,5000009,sale,success,2026-01-01T15:17:00+00:00,721.94,USD,paypal,2026-01-01T15:17:00+00:00,paypal
8000010,5000010,sale,success,2026-01-01T19:58:00+00:00,431.55,USD,shopify_payments,2026-01-01T19:58:00+00:00,credit_card
8000011,5000011,sale,success,2026-01-01T06:16:00+00:00,726.31,USD,shopify_payments,2026-01-01T06:16:00+00:00,credit_card
8000012,5000012,sale,success,2026-01-02T19:41:00+00:00,343.8,USD,shopify_payments,2026-01-02T19:41:00+00:00,credit_card
8000013,5000013,sale,success,2026-01-02T03:41:00+00:00,873.74,USD,shopify_payments,2026-01-02T03:41:00+00:00,credit_card
8000014,5000014,sale,success,2026-01-02T12:35:00+00:00,271.22,USD,shopify_payments,2026-01-02T12:35:00+00:00,credit_card
8000015,5000015,sale,success,2026-01-02T03:54:00+00:00,345.7,USD,shopify_payments,2026-01-02T03:54:00+00:00,credit_card
8000016,5000016,sale,success,2026-01-02T23:54:00+00:00,57.75,USD,shopify_payments,2026-01-02T23:54:00+00:00,credit_card
8000017,5000017,sale,success,2026-01-02T08:47:00+00:00,584.72,USD,stripe,2026-01-02T08:47:00+00:00,credit_card
8000018,5000018,sale,success,2026-01-02T08:30:00+00:00,1061.1,USD,paypal,2026-01-02T08:30:00+00:00,paypal
8000019,5000019,sale,success,2026-01-02T19:59:00+00:00,437.61,USD,shopify_payments,2026-01-02T19:59:00+00:00,credit_card
8000020,5000020,sale,success,2026-01-02T00:06:00+00:00,1146.67,USD,shopify_payments,2026-01-02T00:06:00+00:00,credit_card
8000021,5000021,sale,success,2026-01-02T02:30:00+00:00,618.35,USD,shopify_payments,2026-01-02T02:30:00+00:00,credit_card
8000022,5000022,sale,success,2026-01-02T23:35:00+00:00,935.25,USD,stripe,2026-01-02T23:35:00+00:00,credit_card
8000023,5000023,sale,success,2026-01-02T13:17:00+00:00,293.34,USD,shopify_payments,2026-01-02T13:17:00+00:00,credit_card
8000024,5000024,sale,success,2026-01-02T03:42:00+00:00,219.33,USD,paypal,2026-01-02T03:42:00+00:00,paypal
8000025,5000025,sale,success,2026-01-02T20:04:00+00:00,546.63,USD,shopify_payments,2026-01-02T20:04:00+00:00,credit_card
8000026,5000026,sale,success,2026-01-03T22:44:00+00:00,475.99,USD,shopify_payments,2026-01-03T22:44:00+00:00,credit_card
8000027,5000027,sale,success,2026-01-03T14:23:00+00:00,158.0,USD,shopify_payments,2026-01-03T14:23:00+00:00,credit_card
8000028,5000028,sale,success,2026-01-03T04:17:00+00:00,1721.93,USD,stripe,2026-01-03T04:17:00+00:00,credit_card
8000029,5000029,sale,success,2026-01-03T02:24:00+00:00,86.72,USD,stripe,2026-01-03T02:24:00+00:00,credit_card
8000030,5000030,sale,success,2026-01-03T22:15:00+00:00,326.62,USD,paypal,2026-01-03T22:15:00+00:00,paypal
8000031,5000031,sale,success,2026-01-03T02:47:00+00:00,99.04,USD,shopify_payments,2026-01-03T02:47:00+00:00,credit_card
8000032,5000032,sale,success,2026-01-03T06:26:00+00:00,659.31,USD,shopify_payments,2026-01-03T06:26:00+00:00,credit_card
8000033,5000033,sale,success,2026-01-03T21:40:00+00:00,520.24,USD,shopify_payments,2026-01-03T21:40:00+00:00,credit_card
8000034,5000034,sale,success,2026-01-03T00:27:00+00:00,172.63,USD,shopify_payments,2026-01-03T00:27:00+00:00,credit_card
8000035,5000035,sale,success,2026-01-03T15:40:00+00:00,292.58,USD,shopify_payments,2026-01-03T15:40:00+00:00,credit_card
8000036,5000036,sale,success,2026-01-03T10:02:00+00:00,344.82,USD,shopify_payments,2026-01-03T10:02:00+00:00,credit_card
8000037,5000037,sale,success,2026-01-03T14:46:00+00:00,210.19,USD,shopify_payments,2026-01-03T14:46:00+00:00,credit_card
8000038,5000038,sale,success,2026-01-03T10:09:00+00:00,915.67,USD,paypal,2026-01-03T10:09:00+00:00,paypal
8000039,5000039,sale,success,2026-01-04T19:17:00+00:00,821.94,USD,shopify_payments,2026-01-04T19:17:00+00:00,credit_card
8000040,5000040,sale,success,2026-01-04T07:00:00+00:00,95.27,USD,shopify_payments,2026-01-04T07:00:00+00:00,credit_card
8000041,5000041,sale,success,2026-01-04T14:50:00+00:00,403.75,USD,shopify_payments,2026-01-04T14:50:00+00:00,credit_card
8000042,5000042,sale,success,2026-01-04T17:13:00+00:00,72.38,USD,shopify_payments,2026-01-04T17:13:00+00:00,credit_card
8000043,5000043,sale,success,2026-01-04T14:27:00+00:00,514.2,USD,shopify_payments,2026-01-04T14:27:00+00:00,credit_card
8000044,5000044,sale,success,2026-01-04T12:37:00+00:00,135.79,USD,shopify_payments,2026-01-04T12:37:00+00:00,credit_card
8000045,5000045,sale,success,2026-01-04T18:13:00+00:00,1376.33,USD,shopify_payments,2026-01-04T18:13:00+00:00,credit_card
8000046,5000046,sale,success,2026-01-04T03:28:00+00:00,532.35,USD,stripe,2026-01-04T03:28:00+00:00,credit_card
8000047,5000047,sale,success,2026-01-04T01:01:00+00:00,189.69,USD,shopify_payments,2026-01-04T01:01:00+00:00,credit_card
8000048,5000048,sale,success,2026-01-04T07:28:00+00:00,305.9,USD,paypal,2026-01-04T07:28:00+00:00,paypal
8000049,5000049,sale,success,2026-01-04T06:11:00+00:00,433.58,USD,paypal,2026-01-04T06:11:00+00:00,paypal
8000050,5000050,sale,success,2026-01-04T03:05:00+00:00,413.9,USD,shopify_payments,2026-01-04T03:05:00+00:00,credit_card
8000051,5000051,sale,success,2026-01-05T08:36:00+00:00,146.8,USD,shopify_payments,2026-01-05T08:36:00+00:00,credit_card
8000052,5000052,sale,success,2026-01-05T01:56:00+00:00,205.55,USD,shopify_payments,2026-01-05T01:56:00+00:00,credit_card
8000053,5000053,sale,success,2026-01-05T11:42:00+00:00,542.75,USD,shopify_payments,2026-01-05T11:42:00+00:00,credit_card
8000054,5000054,sale,success,2026-01-05T21:21:00+00:00,229.63,USD,shopify_payments,2026-01-05T21:21:00+00:00,credit_card
8000055,5000055,sale,success,2026-01-05T06:08:00+00:00,287.49,USD,shopify_payments,2026-01-05T06:08:00+00:00,credit_card
8000056,5000056,sale,success,2026-01-05T22:32:00+00:00,408.23,USD,shopify_payments,2026-01-05T22:32:00+00:00,credit_card
8000057,5000057,sale,success,2026-01-05T03:53:00+00:00,842.38,USD,shopify_payments,2026-01-05T03:53:00+00:00,credit_card
8000058,5000058,sale,success,2026-01-05T17:37:00+00:00,1039.22,USD,shopify_payments,2026-01-05T17:37:00+00:00,credit_card
8000059,5000059,sale,success,2026-01-05T00:30:00+00:00,96.52,USD,shopify_payments,2026-01-05T00:30:00+00:00,credit_card
8000060,5000060,sale,success,2026-01-06T11:56:00+00:00,338.2,USD,stripe,2026-01-06T11:56:00+00:00,credit_card
8000061,5000061,sale,success,2026-01-06T03:07:00+00:00,679.4,USD,paypal,2026-01-06T03:07:00+00:00,paypal
8000062,5000062,sale,success,2026-01-06T00:24:00+00:00,500.72,USD,paypal,2026-01-06T00:24:00+00:00,paypal
8000063,5000063,sale,success,2026-01-06T08:06:00+00:00,134.1,USD,shopify_payments,2026-01-06T08:06:00+00:00,credit_card
8000064,5000064,sale,success,2026-01-06T22:40:00+00:00,81.58,USD,shopify_payments,2026-01-06T22:40:00+00:00,credit_card
8000065,5000065,sale,success,2026-01-06T15:11:00+00:00,316.43,USD,shopify_payments,2026-01-06T15:11:00+00:00,credit_card
8000066,5000066,sale,success,2026-01-06T16:56:00+00:00,349.74,USD,shopify_payments,2026-01-06T16:56:00+00:00,credit_card
8000067,5000067,sale,success,2026-01-06T15:34:00+00:00,282.64,USD,shopify_payments,2026-01-06T15:34:00+00:00,credit_card
8000068,5000068,sale,success,2026-01-06T20:01:00+00:00,179.95,USD,shopify_payments,2026-01-06T20:01:00+00:00,credit_card
8000069,5000069,sale,success,2026-01-06T01:50:00+00:00,655.34,USD,paypal,2026-01-06T01:50:00+00:00,paypal
